brand,model,mileage,fuel_type,gearbox,year_of_production,photo_link
BMW,BMW X6 M50d,214 608 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1mNG8wY2V4dXdtOC1PVE9NT1RPUEwifQ.5nL41D6jNq0s8htlAhjutGqRjHWhUVusI7OGyfvnaSs/image
BMW,BMW X3 xDrive20d,199 000 km,Diesel,Automatyczna,2013 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRjcXF0OWRkeTY0bTItT1RPTU9UT1BMIn0.IJtf1wxfC6ikZ4NVYu1dGGVwiWz2elMzbIOyGdmr1KQ/image
BMW,BMW X3 xDrive28i xLine,147 813 km,Benzyna,Automatyczna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZ5MTk4YjZqMmZkejItT1RPTU9UT1BMIn0.BX6VC590ERr8eN7R7kECNYVuhoh8FVedKQSHn0NESYU/image
BMW,BMW X3 xDrive20d M Sport,95 000 km,Diesel,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjA5aGhscmJyeTZjMDEtT1RPTU9UT1BMIn0.oWKurhp5tjJLhsKNM5zjXhE-pHu3zBH8ZMpszrjVWo8/image
BMW,BMW Seria 5 520d,268 150 km,Diesel,Manualna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM2MW0yNWsxYnNrOC1PVE9NT1RPUEwifQ.vukpAlY_77KJS0pbPDUZ9Eat4Zlkafu4N2xRDrxk2RE/image
BMW,BMW Seria 3 325d DPF Touring,368 800 km,Diesel,Manualna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9sbnBrd2h0MnF3cDMtT1RPTU9UT1BMIn0.PxO3YMgoxgqmSitYbMisZEcDNs6_0PiuPIGQm1gYnvM/image
BMW,BMW Seria 1 116i,210 000 km,Benzyna,Manualna,2009 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNqMm5xN3Z6OXdpazMtT1RPTU9UT1BMIn0.s553H3utnIU_Yd9l35OSTVvbYcfQH8UkVIpfuPlDrNI/image
BMW,BMW Seria 1,163 000 km,Benzyna,Automatyczna,2008 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImsxMzZtOWZjeHFvaTEtT1RPTU9UT1BMIn0.DGB3OwBxjWXmeMZKUEibCbGDDe4GRnQCyaH4RMY0ejE/image
BMW,BMW Seria 3 320i GPF xDrive Sport Line,30 000 km,Benzyna,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJjeHo4cnQ1cWRucDMtT1RPTU9UT1BMIn0.USMqxYf3jOcexQ6_1YcTCwC364ZE5g0x066kbYmTUkU/image
BMW,BMW X5 xDrive40i,112 113 km,Benzyna,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImttcGl5YnJpNGVqODItT1RPTU9UT1BMIn0.BAVYi4Umssi8PaFPLc8L5HMscKuActdNfUMgiGqcgSY/image
